開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0986,05UG021,通識,B,,,,,,試算表進階應用與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Advanced Applications of Spreadsheets and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,吳清輝,一 8-9 本部 教401,50,55,,
0987,05UG022,通識,,,,,,,學程式玩音樂 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Learning Programming for Music [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,林宜徵,二 3-4 本部 教402,50,55,,
0988,05UG023,通識,A,,,,,,文本分析與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Textual Data Analysis [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,王祥安,五 3-4 本部 教402,50,45,,
0989,05UG023,通識,B,,,,,,文本分析與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Textual Data Analysis [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,王祥安,五 6-7 本部 教402,50,52,,
0990,05UG025,通識,,,,,,,遊戲程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],"Learn to Code: Images, Animation, and Games [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ]",2.0,通,半,劉建成,五 3-4 本部 教401,50,54,,
0991,05UG026,通識,,,,,,,運動數據分析與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Computer Programming and Data Analysis in Sports [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,蔣宗哲 劉有德,三 3-4 公館 理圖801,50,60,,
0992,05UG027,通識,,,,是,,,數位音樂與聲音合成之基礎程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：藝術與美感 數學與邏輯思維  ；109起入學：邏輯運算 ],Fundamental Programming for Digital Music and Sound Synthesis [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Art and Aesthetics Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,林宜徵,二 6-7 本部 教402,45,29,,
0993,05UG028,通識,A,,,,,,試算表與商務資料分析 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Advanced Spreadsheet Tools for Business Analysis [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,劉建成,二 3-4 公館 理圖801,50,46,,
0994,05UG028,通識,B,,,,,,試算表與商務資料分析 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 ],Advanced Spreadsheet Tools for Business Analysis [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing ],2.0,通,半,劉建成,四 3-4 本部 教401,50,55,,
0995,06UG004,通識,,,,是,,,星星月亮太陽－天文漫談 [ 97-105入學：科學與生命 ；106-108入學：科學與生命  ；109起入學：自然科學 ],Introduction to Astronomy [ Fall Semester 2017 and Before : Science and Life ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,橋本康弘,三 3-4 公館 Ｅ202,97,155,◎地科系（學）不得選修,
